rank,channel_name,playlist_title,language,level,video_count,duration_hours,description,channel_url,playlist_url
1,Bro Code,Java Tutorial for Beginners,English,Beginner,100,12,A comprehensive step-by-step guide covering the fundamentals of Java syntax OOP and more.,https://www.youtube.com/@BroCodez,https://www.youtube.com/playlist?list=PLZPZq0r_RZOOj_NOZYq_R2PECIMglLemc
2,Telusko,Java Tutorial For Beginners,English,Beginner,120,12,Excellent for conceptual understanding especially for those looking to understand the why behind the code.,https://www.youtube.com/@Telusko,https://www.youtube.com/playlist?list=PLsyeobzWxl7pe_IiTfNyr55kwJPWbgxB5
3,Coding with John,Java Beginner,English,Beginner,92,10,Focuses on explaining difficult Java concepts like Lambda expressions and Multithreading in a very simple direct manner.,https://www.youtube.com/@CodingWithJohn,http://www.youtube.com/playlist?list=PLkeaG1zpPTHiMjczpmZ6ALd46VjjiQJ_8
4,Programming with Mosh,Java Tutorials,English,Beginner,211,2.5,Known for clear concise explanations of core Java concepts and professional coding practices.,https://www.youtube.com/@programmingwithmosh,https://www.youtube.com/playlist?list=PLTjRvDozrdlyjm_nKyYt4b5C1zx4Xdaut
5,freeCodeCamp.org,Java Tutorials,English,Beginner-Advanced,15,30,A variety of long-form tutorials and structured lessons for beginners to advanced learners.,https://www.youtube.com/@freecodecamp,https://www.youtube.com/playlist?list=PLWKjhJtqVAbnRT_hue-3zyiuIYj0OlpyG
6,Edureka,Java Full Course,English,Beginner-Advanced,1,12,A marathon session covering everything from basic setup to advanced Java topics in a single extensive video.,https://www.youtube.com/@edurekaIN,https://www.youtube.com/watch?v=TTWjbg_go3A
7,Amigoscode,Java Tutorial - Learn Java,English,Beginner-Intermediate,30,3,Focuses on modern Java development with a clean and clear teaching style.,https://www.youtube.com/@amigoscode,https://www.youtube.com/playlist?list=PLwvrYc43l1MyAmDss3HEYYBIQwY3pITeA
8,Java Brains,Java & Spring Boot,English,Intermediate-Advanced,50,8,Highly regarded for technical depth in core Java and enterprise technologies.,https://www.youtube.com/@Java.Brains,https://www.youtube.com/playlist?list=PLqq-6Pq4lTTbx8p2oCgcAQGQyqN8XeA1x
9,Alex Lee,Full Java Course,English,Beginner,130,6,Fast-paced and engaging tutorials that help you get up and running with Java quickly.,https://www.youtube.com/@alexlorenlee,https://www.youtube.com/playlist?list=PL59LTecnGM1NRUyune3SxzZlYpZezK-oQ
10,Caleb Curry,Java Programming Tutorials,English,Beginner-Intermediate,101,7,A detailed breakdown of programming logic and Java-specific syntax.,https://www.youtube.com/@CalebCurry,https://www.youtube.com/playlist?list=PL_c9BZzLwBRJ55lLw8PdPlTVblIlPKfX5
 
