rank,channel_name,playlist_title,language,level,video_count,duration_hours,description,channel_url,playlist_url
1,The Cherno,C++,English,Beginner-Advanced,98,30,The go-to YouTube C++ playlist with ~12M views covering variables to memory management OOP modern C++ and design patterns.,https://www.youtube.com/@TheCherno,https://www.youtube.com/playlist?list=PLlrATfBNZ98dudnM48yfGUldqGD0S4FFb
2,freeCodeCamp.org,C / C++,English,Beginner-Advanced,10,31,Comprehensive 31-hour C++ course covering fundamentals to advanced topics including OOP STL and memory management.,https://www.youtube.com/@freecodecamp,https://www.youtube.com/playlist?list=PLWKjhJtqVAbmUE5IqyfGYEYjrZBYzaT4m
3,Bro Code,C++ Tutorial for Beginners,English,Beginner,100,10,Massive beginner-friendly C++ course covering syntax data structures OOP and practical coding exercises.,https://www.youtube.com/@BroCodez,https://www.youtube.com/playlist?list=PLZPZq0r_RZOMHoXIcxze_lP97j2Ase2on
4,Caleb Curry,C++ Intermediate Tutorials,English,Intermediate,40,6,Deep dives into references pointers memory management and advanced C++ concepts for intermediate programmers.,https://www.youtube.com/@CalebCurry,https://www.youtube.com/playlist?list=PL_c9BZzLwBRJkVDaJbLHrrjNH_phcbCy7
5,Programming with Mosh,C++ Tutorial for Beginners (Full Course),English,Beginner,1,4,Clear concise single-video full course covering core C++ essentials with professional teaching quality.,https://www.youtube.com/@programmingwithmosh,https://www.youtube.com/watch?v=ZzaPdXTrSb8
6,Neso Academy,C++ Programming,English,Beginner-Intermediate,100,20,Structured curriculum-aligned C++ course ideal for engineering students and GATE exam preparation.,https://www.youtube.com/@nesoacademy,https://www.youtube.com/playlist?list=PLBlnK6fEyqRh6isJ01MBnbNpV3ZsktSyS
7,Gate Smashers,C++ Programming (Complete Course),English,Beginner-Intermediate,80,15,Complete C++ programming course tailored for computer science students and competitive exam aspirants.,https://www.youtube.com/@GateSmashers,https://www.youtube.com/playlist?list=PLxCzCOWd7aiF6yRNI5OHQsnUJQfl7Geqj
8,CodeBeauty,C++ Programming (Full Course),English,Beginner-Advanced,1,10,10-hour single-video full C++ course from beginner to advanced covering OOP pointers and dynamic memory.,https://www.youtube.com/@CodeBeauty,https://www.youtube.com/watch?v=GQp1zzTwrRo
9,The Cherno,OpenGL (C++),English,Advanced,50,12,Hands-on OpenGL graphics programming series using C++ covering shaders buffers textures and modern GPU techniques.,https://www.youtube.com/@TheCherno,https://www.youtube.com/playlist?list=PLlrATfBNZ98foTJPJ_Ev03o2oq3-GGOS2
10,Caleb Curry,Data Structures and Algorithms (C++),English,Intermediate,17,4,Focused DSA series in C++ covering big O notation searching sorting trees graphs and common data structures.,https://www.youtube.com/@CalebCurry,https://www.youtube.com/playlist?list=PL_c9BZzLwBRLpDEpYRFXKBN-2ZCsAx0ps
 
